Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Aruba,ABW,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,38.67685403,38.40687347,38.1812163,38.45376856,38.43025176,38.48919681,26.76359163,25.55128832,13.32536783,11.69008609,11.3430248,9.905148181,9.137460663,9.624159675,8.940312515,8.015424091,10.73818347,7.886370253,6.549218972,6.029340568,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,87.9678421,87.52608514,87.18106812,86.8889096,86.88861728,87.10745164,87.35857772,87.62729893,88.58837241,89.03763977,89.68469655,89.48294872,89.89122532,89.86200257,89.73220852,89.88300798,89.19718062,89.47303856,89.38865626
Afghanistan,AFG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,85.98793425,85.38868253,82.26119116,82.79045706,82.51576111,83.34999066,82.88639492,81.96774426,80.89869859,80.14178408,79.99198077,79.32177526,79.52052864,78.26642621,77.60837262,76.16075174,72.93818974,73.93838925,74.18973102,73.87512892,83.38461538,84.80243161,85.625,86.5625,86.95652174,88.5620915,89.36170213,90.25069638,90.97938144,91.56626506,90.33149171,88.81987578,90,90.10416667,90.02624672,90.17632242,83.74384236,78.11764706,75.1565762
Africa Western and Central,AFW,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,83.67559368,83.49200947,83.01796018,82.58666496,48.64591447,48.8710546,49.63856084,50.19315375,51.76302258,51.92800531,53.43579576,52.08556535,52.73582209,54.13202795,54.01186003,55.92885351,55.83369927,55.75051282,55.97390469
Angola,AGO,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,67.85501578,52.74510546,56.35858086,59.63973114,56.31011211,62.86715712,62.12088602,67.15280705,70.00565268,76.39763164,76.3882906,77.04679614,80.74186701,82.30901085,83.09452377,87.45835122,87.49230705,88.16681854,87.25730734,87.63187983,99.08136483,99.08316961,99.08616188,99.01768173,99.01445466,98.94806049,98.75730994,98.73511905,98.78869448,98.61717613,98.58757062,98.55172414,98.53503185,98.66666667,98.61954721,98.54096521,98.2381531,98.24063564,97.96407186
Albania,ALB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,75.96710541,75.45492187,74.96156449,74.92591913,74.83788419,74.75340277,76.06863809,75.23294725,75.8462087,76.16621314,75.24858144,75.95396714,77.18990021,67.34910136,69.6580986,68.08647864,66.6890636,68.195119,68.91474681,68.42893392,84.90566038,83.47107438,84.95575221,88.03418803,91.97080292,94.73684211,93.27731092,92.03539823,92.30769231,91.96428571,91.52542373,90.43478261,92.24806202,91.60305344,91.33858268,90.625,90.16393443,90.16393443,90.35087719
Andorra,AND,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,83.06525526,82.83132918,83.02448711,83.76657891,83.42593916,83.42833146,83.78440605,83.71589608,84.07667905,84.03810432,81.65388596,81.31019181,81.51133124,81.07466169,81.44208677,81.50118951,80.02292698,79.17278711,77.80270214
United Arab Emirates,ARE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,35.57947735,32.33718504,31.36630375,28.64499087,28.39058131,23.40917284,14.82232453,16.42221784,17.68854871,23.3800309,20.74525796,21.7690746,21.87605927,22.6510702,14.5443477,15.63343085,14.51158882,15.24310461,15.63224908,18.13545786,14.74358974,16.16766467,17.41573034,17.64705882,18.68686869,17.39130435,16.03053435,14.7260274,13.93188854,13.23943662,12.46753247,12.46819338,13.75921376,14.18269231,13.94799054,14.3187067,13.65638767,13.44537815,13.57285429
Argentina,ARG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,81.1944316,86.57810523,84.35397959,87.00427665,85.78426743,84.47647726,82.74485641,86.58133615,83.83450835,83.01801512,82.13487463,83.57798072,82.82996584,82.84514438,86.6925382,85.47302701,84.81118075,81.76955077,85.10134467,85.07144457,95.86032104,95.67552289,95.59556787,95.36777092,95.35899536,95.09803922,94.92166397,94.70729751,94.57343413,94.53376206,94.72750317,94.58153142,94.50990223,94.8618406,94.74761255,94.57969683,94.61384376,94.76130123,94.47465739
